id,sector,x,y
1430,Stone_and_glass,1844,2237
1429,Stone_and_glass,1196,2619
1428,Stone_and_glass,2177,2172
1427,Stone_and_glass,1362,2380
1425,Stone_and_glass,1212,2116
1423,Stone_and_glass,2438,2886
1422,Stone_and_glass,2053,1979
1421,Stone_and_glass,2102,2089
1420,Stone_and_glass,2094,2049
1419,Stone_and_glass,2479,2413
1418,Stone_and_glass,1108,2065
1417,Stone_and_glass,2410,2842
1416,Stone_and_glass,1508,2709
1412,Stone_and_glass,1403,2654
1411,Stone_and_glass,1734,2521
1409,Stone_and_glass,1583,2433
1407,Stone_and_glass,1914,2649
1404,Stone_and_glass,2358,2471
1403,Stone_and_glass,2188,2442
1401,Stone_and_glass,1896,2643
1400,Stone_and_glass,1994,2447
1399,Stone_and_glass,1850,2204
1398,Stone_and_glass,1672,2251
1396,Stone_and_glass,2439,2848
1395,Stone_and_glass,2411,2868
917,Minerals,2279,2549
916,Minerals,1895,2687
915,Minerals,1888,2733
914,Minerals,2185,1925
913,Minerals,1597,1967
912,Minerals,2433,2044
911,Minerals,2318,1884
910,Minerals,2438,1822
909,Minerals,1994,2123
908,Minerals,2161,2040
905,Minerals,1720,2655
904,Minerals,1549,2022
902,Minerals,1773,2774
900,Minerals,1875,2703
896,Minerals,2230,1654
895,Minerals,1508,2050
894,Minerals,1478,2071
893,Minerals,1105,2363
892,Minerals,1003,2314
890,Minerals,1483,2038
888,Minerals,2446,2976
887,Minerals,2460,2928
886,Minerals,1735,2794
885,Minerals,1035,2383
884,Minerals,1066,2293
883,Minerals,2224,1724
882,Minerals,1059,2330
881,Minerals,953,2120
880,Minerals,1169,2326
879,Minerals,2027,1729
873,Minerals,2482,2374
870,Minerals,2353,2689
869,Minerals,1320,2897
867,Minerals,2341,2610
866,Minerals,2097,2194
865,Minerals,2416,2892
860,Minerals,2171,1683
858,Minerals,1916,2684
857,Minerals,1155,1846
855,Minerals,2645,2788
853,Minerals,2515,2051
851,Minerals,2057,2934
1618,Metals,2007,2274
1616,Metals,2151,2435
1615,Metals,1605,2357
1614,Metals,1605,2630
1613,Metals,2750,2829
1612,Metals,1713,2103
1610,Metals,1770,2661
1609,Metals,1938,2347
1608,Metals,1932,2269
1607,Metals,2726,2794
1604,Metals,1433,2059
1603,Metals,1079,2603
1601,Metals,1485,2102
1600,Metals,1595,2335
1599,Metals,1698,2319
1597,Metals,1840,2449
1596,Metals,1547,2598
1595,Metals,1843,2610
1594,Metals,1542,2379
1593,Metals,2570,2187
1591,Metals,1760,2102
1590,Metals,2724,2695
1587,Metals,1248,2225
1584,Metals,1080,2346
1583,Metals,1602,2851
1581,Metals,1560,2860
1580,Metals,1109,2728
1573,Metals,1195,1775
1572,Metals,1989,2259
1566,Metals,2227,1854
1560,Metals,2252,2145
1559,Metals,2091,2363
1558,Metals,2573,2583
1557,Metals,2686,2238
1555,Metals,2311,2255
1553,Metals,2173,2465
1551,Metals,2127,2346
1550,Metals,1905,2527
1549,Metals,1877,2645
1548,Metals,1558,2095
1547,Metals,2316,2470
1545,Metals,2397,2322
1544,Metals,1844,2705
1543,Metals,1504,2132
1542,Metals,1368,2208
1541,Metals,1273,2169
1540,Metals,1455,2260
1537,Metals,1104,2332
1536,Metals,1035,2271
1535,Metals,1703,2279
1529,Metals,1701,2783
1528,Metals,1528,2713
1527,Metals,1451,2353
1526,Metals,1195,2648
1525,Metals,1441,2403
1524,Metals,2222,1950
1523,Metals,2283,1928
1520,Metals,2423,2328
1519,Metals,2230,1793
1518,Metals,2257,1834
1516,Metals,2018,2384
1515,Metals,2113,2304
1514,Metals,1510,2621
1513,Metals,2707,2751
1512,Metals,1832,2424
1511,Metals,2168,2363
1510,Metals,1988,2295
1508,Metals,1692,2420
1507,Metals,2613,2075
1505,Metals,1635,2293
1504,Metals,2150,2319
1502,Metals,2164,2105
1501,Metals,2782,2462
1500,Metals,2340,2424
1499,Metals,2194,2376
1498,Metals,2337,2365
1497,Metals,1756,2301
1496,Metals,2287,2363
1495,Metals,1600,2137
1494,Metals,1605,2233
1493,Metals,2386,2883
1492,Metals,1623,2548
1491,Metals,1780,2747
1490,Metals,1553,2262
1489,Metals,2225,2115
1488,Metals,1312,2833
1487,Metals,1498,2346
1486,Metals,1496,2307
1485,Metals,1560,2152
1484,Metals,1588,2623
1483,Metals,1541,2483
1482,Metals,1415,2451
1481,Metals,1389,2135
1480,Metals,1429,2116
1479,Metals,1464,2094
1478,Metals,2202,2314
1477,Metals,2192,2242
1476,Metals,2185,2599
1475,Metals,2197,2194
1474,Metals,2209,2160
1473,Metals,1766,2614
1472,Metals,1818,2506
1471,Metals,2271,2032
1470,Metals,2220,2011
1469,Metals,2225,2050
1468,Metals,1576,2074
1467,Metals,1583,2023
1466,Metals,1747,2681
1465,Metals,2423,2217
1464,Metals,1002,2136
1463,Metals,2255,1978
1462,Metals,1608,2103
1879,Machinery,1396,2803
1878,Machinery,1236,2373
1875,Machinery,2596,2712
1874,Machinery,1609,2698
1873,Machinery,2754,2619
1872,Machinery,2743,2586
1869,Machinery,2608,2183
1865,Machinery,2727,2594
1864,Machinery,1219,2676
1863,Machinery,2758,2877
1862,Machinery,1578,2814
1861,Machinery,1155,2741
1851,Machinery,1654,2723
1850,Machinery,1475,2446
1848,Machinery,1475,2409
1845,Machinery,1232,2748
1843,Machinery,1176,2375
1836,Machinery,1329,2689
1835,Machinery,1362,2716
1833,Machinery,1334,2710
1830,Machinery,1342,2636
1827,Machinery,1381,2654
1824,Machinery,2780,2847
1823,Machinery,1375,2688
1822,Machinery,1741,2213
1821,Machinery,1642,2393
1820,Machinery,1330,2382
1819,Machinery,1305,2415
1818,Machinery,1781,2209
1817,Machinery,2079,2239
1816,Machinery,1346,2132
1815,Machinery,1425,2280
1814,Machinery,1560,2358
1813,Machinery,1474,2227
1812,Machinery,1838,2585
1811,Machinery,1270,2201
1810,Machinery,1293,2060
1809,Machinery,1452,2626
1808,Machinery,1448,2703
1807,Machinery,1324,2443
1806,Machinery,1761,2531
1804,Machinery,1670,2041
1803,Machinery,1487,2497
1802,Machinery,1141,2357
1801,Machinery,1262,2297
1800,Machinery,1639,2807
1799,Machinery,1313,2352
1795,Machinery,1293,2512
1794,Machinery,1128,2702
1793,Machinery,1438,2841
1792,Machinery,1398,2771
1791,Machinery,1168,2603
1790,Machinery,1191,2405
1703,Machinery,1692,2235
1702,Machinery,1445,2477
1701,Machinery,1587,2260
1700,Machinery,1721,2309
1699,Machinery,1736,2273
1698,Machinery,1680,2178
1697,Machinery,1420,2168
1696,Machinery,1529,2759
1695,Machinery,1558,2509
1694,Machinery,1512,2160
1693,Machinery,1540,2348
1692,Machinery,2089,2274
1691,Machinery,1163,2554
1690,Machinery,1241,2589
1689,Machinery,1113,2520
1688,Machinery,1188,2748
1686,Machinery,1721,2244
1685,Machinery,1612,2170
1684,Machinery,1746,2368
1683,Machinery,1883,2326
1682,Machinery,1528,2805
1681,Machinery,1820,2165
1680,Machinery,1812,2246
1679,Machinery,1594,2778
1678,Machinery,1593,2665
1677,Machinery,1659,2325
1676,Machinery,1487,2520
1675,Machinery,1572,2737
1674,Machinery,1387,2382
1673,Machinery,1579,2173
1672,Machinery,1629,2255
1670,Machinery,1785,2160
1669,Machinery,1686,2071
1668,Machinery,1544,2568
1666,Machinery,1613,2647
1665,Machinery,1434,2778
1664,Machinery,1624,2835
1663,Machinery,1608,2741
1661,Machinery,1240,2541
1660,Machinery,1292,2377
1659,Machinery,1532,2249
1658,Machinery,1264,2356
1657,Machinery,1542,2328
1656,Machinery,1993,2415
1655,Machinery,1202,2327
1654,Machinery,1787,2494
1652,Machinery,1931,2454
1651,Machinery,1742,2470
1650,Machinery,2097,2337
1649,Machinery,1958,2318
1648,Machinery,1660,1936
1647,Machinery,1635,2698
1646,Machinery,1876,2430
1645,Machinery,1378,2184
1644,Machinery,1600,2300
1643,Machinery,1830,2284
1642,Machinery,1585,2372
1641,Machinery,1288,2406
1640,Machinery,1512,2482
1639,Machinery,1557,2304
1638,Machinery,1541,2775
1637,Machinery,1636,2342
1636,Machinery,2276,2403
1635,Machinery,1905,2356
1634,Machinery,1513,2258
1633,Machinery,1309,2587
1632,Machinery,1761,2458
1631,Machinery,1502,2450
1630,Machinery,1606,2410
1629,Machinery,1304,2733
1628,Machinery,1921,2563
1627,Machinery,1699,2357
1626,Machinery,1602,2469
1625,Machinery,1514,2394
1624,Machinery,1717,2389
1623,Machinery,1661,2154
1622,Machinery,1956,2177
1621,Machinery,1824,2474
1620,Machinery,2006,2190
1619,Machinery,1355,1943
1751,Electronics,1294,2477
1750,Electronics,1669,2277
1749,Electronics,2025,2326
1748,Electronics,1665,2693
1747,Electronics,2481,2445
1746,Electronics,1275,2438
1745,Electronics,1182,2480
1744,Electronics,1204,2570
1743,Electronics,1222,2420
1742,Electronics,1505,2089
1741,Electronics,1755,2237
1740,Electronics,1895,2273
1739,Electronics,1978,2363
1738,Electronics,2044,2294
1737,Electronics,1223,2588
1736,Electronics,1260,2506
1735,Electronics,1274,2597
1734,Electronics,1344,2494
1733,Electronics,1868,2391
1732,Electronics,1288,2553
1731,Electronics,1394,2542
1730,Electronics,1204,2707
1729,Electronics,1262,2393
1728,Electronics,1069,2448
1727,Electronics,1376,2149
1726,Electronics,1228,2475
1725,Electronics,1206,2520
1724,Electronics,1138,2639
1722,Electronics,1120,2580
1721,Electronics,1239,2706
1720,Electronics,1127,2449
1719,Electronics,1493,2690
1718,Electronics,1522,2313
1717,Electronics,1555,2411
1716,Electronics,1152,2385
1715,Electronics,1742,2416
1714,Electronics,1786,2448
1713,Electronics,1723,2010
1712,Electronics,1055,2535
1711,Electronics,1621,2117
1710,Electronics,1303,2628
1709,Electronics,1123,2118
1708,Electronics,1221,2639
1707,Electronics,2024,2252
1706,Electronics,1920,2237
1705,Electronics,1645,2202
1704,Electronics,2063,2312
1135,Chemicals_and_plastics,1878,2245
1134,Chemicals_and_plastics,1250,2736
1133,Chemicals_and_plastics,1357,2315
1132,Chemicals_and_plastics,2072,2068
1131,Chemicals_and_plastics,2155,2248
1130,Chemicals_and_plastics,2156,2209
1129,Chemicals_and_plastics,1800,2303
1128,Chemicals_and_plastics,1777,2325
1127,Chemicals_and_plastics,1857,2322
1124,Chemicals_and_plastics,1853,2420
1121,Chemicals_and_plastics,1393,2070
1120,Chemicals_and_plastics,2842,2295
1119,Chemicals_and_plastics,1853,2270
1118,Chemicals_and_plastics,2306,2390
1117,Chemicals_and_plastics,2817,2481
1116,Chemicals_and_plastics,2418,2465
1115,Chemicals_and_plastics,2093,2412
1114,Chemicals_and_plastics,2152,2551
1113,Chemicals_and_plastics,2046,2502
1112,Chemicals_and_plastics,1403,2108
1111,Chemicals_and_plastics,1435,2087
1110,Chemicals_and_plastics,2120,2544
1109,Chemicals_and_plastics,1685,2498
1108,Chemicals_and_plastics,2216,2654
1107,Chemicals_and_plastics,1531,2163
1106,Chemicals_and_plastics,1368,2019
1105,Chemicals_and_plastics,1371,2110
1104,Chemicals_and_plastics,1230,2080
1103,Chemicals_and_plastics,1266,2120
1102,Chemicals_and_plastics,1860,2360
1101,Chemicals_and_plastics,1272,2142
1100,Chemicals_and_plastics,1265,2706
1099,Chemicals_and_plastics,1266,2082
1098,Chemicals_and_plastics,1132,2169
1097,Chemicals_and_plastics,1702,2039
1096,Chemicals_and_plastics,1273,2656
1095,Chemicals_and_plastics,1535,2181
1094,Chemicals_and_plastics,2137,1865
1093,Chemicals_and_plastics,2031,2567
1092,Chemicals_and_plastics,1345,2063
1091,Chemicals_and_plastics,1330,2082
1088,Chemicals_and_plastics,1083,2642
1087,Chemicals_and_plastics,1447,1936
1086,Chemicals_and_plastics,1735,2567
1085,Chemicals_and_plastics,1307,2174
1084,Chemicals_and_plastics,2095,2588
1082,Chemicals_and_plastics,1120,2259
1081,Chemicals_and_plastics,1148,2004
1080,Chemicals_and_plastics,1732,2048
1079,Chemicals_and_plastics,1821,2594
1078,Chemicals_and_plastics,1365,2333
1076,Chemicals_and_plastics,1053,2166
1072,Chemicals_and_plastics,1111,2197
1071,Chemicals_and_plastics,1664,2600
1070,Chemicals_and_plastics,1194,2065
1066,Chemicals_and_plastics,1216,2166
1065,Chemicals_and_plastics,1186,2118
1064,Chemicals_and_plastics,1231,2126
1060,Chemicals_and_plastics,2292,2661
1057,Chemicals_and_plastics,2119,2720
1056,Chemicals_and_plastics,2052,2540
1055,Chemicals_and_plastics,1207,2774
1054,Chemicals_and_plastics,1343,2275
1053,Chemicals_and_plastics,1356,2360
1051,Chemicals_and_plastics,2072,2699
1049,Chemicals_and_plastics,2139,1989
1048,Chemicals_and_plastics,2077,2487
1047,Chemicals_and_plastics,1372,1944
1046,Chemicals_and_plastics,1330,2169
1045,Chemicals_and_plastics,2166,2401
1044,Chemicals_and_plastics,2452,2387
1043,Chemicals_and_plastics,2003,2508
1042,Chemicals_and_plastics,2078,2190
1041,Chemicals_and_plastics,2060,2465
1040,Chemicals_and_plastics,1660,2783
1039,Chemicals_and_plastics,1661,2834
1038,Chemicals_and_plastics,1393,2041
1037,Chemicals_and_plastics,2386,2610
1036,Chemicals_and_plastics,1328,2104
1035,Chemicals_and_plastics,2028,2466
1033,Chemicals_and_plastics,1991,2571
1030,Chemicals_and_plastics,2127,2502
1029,Chemicals_and_plastics,2087,2535
1028,Chemicals_and_plastics,1273,1995
1027,Chemicals_and_plastics,1482,2183
1025,Chemicals_and_plastics,1134,2146
1021,Chemicals_and_plastics,2247,2597
1020,Chemicals_and_plastics,1566,1962
1019,Chemicals_and_plastics,1095,2142
1018,Chemicals_and_plastics,2326,2013
1016,Chemicals_and_plastics,1352,2223
1015,Chemicals_and_plastics,1769,2122
1014,Chemicals_and_plastics,1944,2491
1013,Chemicals_and_plastics,2005,2476
1012,Chemicals_and_plastics,1318,2232
1011,Chemicals_and_plastics,1397,1952
1009,Chemicals_and_plastics,1278,2263
1007,Chemicals_and_plastics,1554,2808
1005,Chemicals_and_plastics,1317,2039
1004,Chemicals_and_plastics,1296,2110
1003,Chemicals_and_plastics,1200,1989
1002,Chemicals_and_plastics,1107,2028
1001,Chemicals_and_plastics,1227,1940
1000,Chemicals_and_plastics,1228,2018
999,Chemicals_and_plastics,1149,2045
998,Chemicals_and_plastics,1255,2045
997,Chemicals_and_plastics,1483,2146
994,Chemicals_and_plastics,1440,2029
993,Chemicals_and_plastics,1245,1957
992,Chemicals_and_plastics,1152,1915
991,Chemicals_and_plastics,1477,2370
990,Chemicals_and_plastics,1204,1828
989,Chemicals_and_plastics,1201,1953
988,Chemicals_and_plastics,1240,1987
986,Chemicals_and_plastics,1229,2268
985,Chemicals_and_plastics,1141,2098
984,Chemicals_and_plastics,1195,2236
983,Chemicals_and_plastics,1369,2282
982,Chemicals_and_plastics,1249,2147
980,Chemicals_and_plastics,1262,2014
978,Chemicals_and_plastics,1175,2081
977,Chemicals_and_plastics,1318,1954
975,Chemicals_and_plastics,1252,2102
974,Chemicals_and_plastics,1178,2014
973,Chemicals_and_plastics,2396,1980
972,Chemicals_and_plastics,1909,2720
971,Chemicals_and_plastics,1219,2048
970,Chemicals_and_plastics,1417,2018
969,Chemicals_and_plastics,2487,1934
966,Chemicals_and_plastics,1579,2134
961,Chemicals_and_plastics,1141,2307
960,Chemicals_and_plastics,1814,2720
958,Chemicals_and_plastics,1783,2060
953,Chemicals_and_plastics,1138,1952
952,Chemicals_and_plastics,2197,1825
951,Chemicals_and_plastics,1975,2816
950,Chemicals_and_plastics,1896,2763
944,Chemicals_and_plastics,1165,1990
943,Chemicals_and_plastics,1467,2676
942,Chemicals_and_plastics,1797,2008
939,Chemicals_and_plastics,1016,2022
938,Chemicals_and_plastics,1585,2891
935,Chemicals_and_plastics,1708,2720
932,Chemicals_and_plastics,1840,2160
931,Chemicals_and_plastics,2361,1998
928,Chemicals_and_plastics,1552,2703
926,Chemicals_and_plastics,2185,1746
924,Chemicals_and_plastics,2216,1899
921,Chemicals_and_plastics,1760,2032
920,Chemicals_and_plastics,1550,2119